"","lhs","rhs","support","confidence","lift","count"
"32","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{person}",0.473684210526316,1,1,27
"33","{person}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.473684210526316,0.473684210526316,1,27
"44","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.473684210526316,1,1,27
"45","{person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.473684210526316,0.473684210526316,1,27
"24","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}","{person}",0.403508771929825,1,1,23
"25","{person}","{nannannannannanminiCamnanExterior-FrontDoormotionnannannannannannanwebhook}",0.403508771929825,0.403508771929825,1,23
"42","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{person}",0.403508771929825,1,1,23
"43","{person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.403508771929825,0.403508771929825,1,23
"38","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}","{person}",0.350877192982456,1,1,20
"39","{person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.350877192982456,0.350877192982456,1,20
"40","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.350877192982456,0.869565217391304,1.83574879227053,20
"41","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.350877192982456,0.740740740740741,1.83574879227053,20
"151","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.350877192982456,1,1,20
"152","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.350877192982456,0.869565217391304,1.83574879227053,20
"153","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.350877192982456,0.740740740740741,1.83574879227053,20
"36","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.333333333333333,0.95,2.00555555555556,19
"37","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.333333333333333,0.703703703703704,2.00555555555556,19
"148","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.333333333333333,1,1,19
"149","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.333333333333333,0.95,2.00555555555556,19
"150","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.333333333333333,0.703703703703704,2.00555555555556,19
"34","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.315789473684211,0.9,2.2304347826087,18
"35","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.315789473684211,0.782608695652174,2.2304347826087,18
"145","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{person}",0.315789473684211,1,1,18
"146","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.315789473684211,0.9,2.2304347826087,18
"147","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.315789473684211,0.782608695652174,2.2304347826087,18
"142","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.298245614035088,0.944444444444444,1.99382716049383,17
"143","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.298245614035088,0.894736842105263,2.21739130434783,17
"144","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.298245614035088,0.85,2.4225,17
"290","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.298245614035088,1,1,17
"291","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.298245614035088,0.944444444444444,1.99382716049383,17
"292","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook}",0.298245614035088,0.894736842105263,2.21739130434783,17
"293","{nannannannannanAlexanannanVoice Deactivationnannannanlampnannanwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanAlexanannanVoice Activationnannannanlampnannanwebhook}",0.298245614035088,0.85,2.4225,17
"14","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}","{person}",0.280701754385965,1,1,16
"15","{person}","{nannannannannanRoom1LampnannanOffnannannannannannanwebhook}",0.280701754385965,0.280701754385965,1,16
"30","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"31","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
"139","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.210526315789474,1,1,12
"140","{nannannannannanFrontLock1nannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanFrontLock1nannannannanUnlockednannannan Manny Kinwebhook}",0.210526315789474,0.444444444444444,0.938271604938272,12
