"","RIGHT","WRONG"
"1","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannanManual Unlockwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}"
"2",NA,"{person,Unknown-Device}"
"3",NA,"{nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,Unknown-Device}"
"4","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannanManual Unlockwebhook,person,Unknown-Device}"
"5","{nannannannannanAlexanannannannanVoice Activationnannannannannanlampnannanwebhook,nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanLockednannannanManual Lockwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}"
"6","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannanManual Unlockwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}"
"7","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanLockednannannanManual Lockwebhook,Unknown-Webcam}"
"8","{nannannannannanAlexanannannannanVoice Activationnannannannannanlampnannanwebhook,nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,Unknown-Device}"
"9","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManual Lockwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,Unknown-Device}"
"10","{nannannannannanAlexanannannannanVoice Activationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook}","{nannannannannanminiCamnannannanExterior-FrontDoormotionnannannannannannannannanwebhook,Unknown-Device}"
"11","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,person,Unknown-Device}"
