desired_output,_index_domoticz-2018-03-19,_index_domoticz-2018-03-20,_index_domoticz-2018-03-21,_index_domoticz-2018-03-22,_index_domoticz-2018-03-23,_index_domoticz-2018-03-24,_index_domoticz-2018-03-25,_index_domoticz-2018-03-26,_index_domoticz-2018-03-27,_index_domoticz-2018-03-28,_index_domoticz-2018-03-29,_index_domoticz-2018-03-30,_index_domoticz-2018-03-31,_index_domoticz-2018-04-01,_index_domoticz-2018-04-02,_index_domoticz-2018-04-03,_index_domoticz-2018-04-04,_index_domoticz-2018-04-05,_source.MESSAGE_swx-u-range-sensor-light-1 >> OFF,_source.MESSAGE_swx-u-range-sensor-light-1 >> ON,_source.SUBJECT_swx-u-range-sensor-light-1 >> OFF,_source.SUBJECT_swx-u-range-sensor-light-1 >> ON,"_source.Time_ March 20, 2018 at 12:28PM","_source.Time_ March 20, 2018 at 12:34PM",_source.message_Alarm - Interior Motion,_source.message_Alarm - Interior Motion - Room 1,_source.message_Alarm - Interior Motion - Room 2,_source.message_Alarm Off,_source.message_Alarm Off - Interior Motion - Room 1,_source.message_Alarm Off - Interior Motion - Room 2,_source.message_Domoticz test message!,_source.message_Door Locked,_source.message_Door Unlocked,_source.message_Hallway1 - Alarm Off,_source.message_Hallway1 - Motion Detected,_source.message_Lamp Turned Off,_source.message_Lamp Turned On,_source.message_Lock1 Unlocked,_source.message_MotionSensorRoom1 - Monitoring,_source.message_MotionSensorRoom1 - Motion Detected,_source.message_Plug (Wink Turned Off,_source.message_Plug (Wink Turned On,_source.message_Room 1 - Motion Detected,_source.message_Room1 - Alarm Off,_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-19 18:11:22 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-20 06:28:45 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-21 17:38:59 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-22 07:17:51 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-22 17:52:22 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-23 07:05:41 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-23 19:33:49 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-24 05:32:59 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-24 14:09:35 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-25 08:17:07 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-26 17:57:30 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-27 18:11:24 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-28 06:29:56 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-28 19:02:20 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-29 07:07:42 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-29 09:19:08 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-30 19:15:33 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-03-31 11:05:38 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-04-02 07:56:28 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-04-03 17:18:16 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-04-03 20:15:11 [!= 1 minutes],_source.message_Sensor swx-u-range-sensor-light-1 Last Update: 2018-04-04 17:28:00 [!= 1 minutes],_source.message_Smart Plug (AP) Turned On,_source.message_swx-u-range-sensor-light-1 >> OFF,_source.message_swx-u-range-sensor-light-1 >> ON,_source.message_swx-u-range-sensor-motion-1 Alarm type: 0x07 AC >> OFF,_source.message_swx-u-range-sensor-motion-1 Switch >> OFF,_source.message_swx-u-range-sensor-motion-1 Switch >> ON,_source.status_Unlocked,_source.status_unlocked,_source.subject_Front Door,_source.subject_Lock1,_source.user_Manny Kin,_source.user_Manual Unlock,devicename_Alarm,devicename_Domoticz,devicename_Door,devicename_Hallway1,devicename_Lamp,devicename_Lock1,devicename_MotionSensorRoom1,devicename_Plug,devicename_Room,devicename_Room1,devicename_Sensor,devicename_Smart,devicename_swx-u-range-sensor-light-1,devicename_swx-u-range-sensor-motion-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
