_score,_source.Class,_source.Count,_source.DeviceID,_source.LocationID,_type,desired_output
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,2,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
1.0,1,1,1,1,_doc,
