_id,_index,_score,_source.message,_source.payload,_source.timestamp,_type
Tue Apr 10 2018 20:05:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 204894 Events,,2018-04-10T20:05:00.034Z,webhook
Tue Apr 10 2018 22:05:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263066 Events,,2018-04-10T22:05:00.047Z,webhook
Tue Apr 10 2018 19:55:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 191204 Events,,2018-04-10T19:55:00.051Z,webhook
Tue Apr 10 2018 20:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 212924 Events,,2018-04-10T20:10:00.047Z,webhook
Tue Apr 10 2018 20:25:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 228474 Events,,2018-04-10T20:25:00.056Z,webhook
Tue Apr 10 2018 21:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 260465 Events,,2018-04-10T21:10:00.030Z,webhook
Tue Apr 10 2018 21:15:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 260950 Events,,2018-04-10T21:15:00.033Z,webhook
Tue Apr 10 2018 21:50:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 262750 Events,,2018-04-10T21:50:00.039Z,webhook
Tue Apr 10 2018 22:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263082 Events,,2018-04-10T22:10:00.036Z,webhook
Tue Apr 10 2018 22:15:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263133 Events,,2018-04-10T22:15:00.014Z,webhook
Tue Apr 10 2018 22:40:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263417 Events,,2018-04-10T22:40:00.029Z,webhook
Tue Apr 10 2018 23:15:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263886 Events,,2018-04-10T23:15:00.042Z,webhook
Tue Apr 10 2018 23:25:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-10,1.0,Found 263960 Events,,2018-04-10T23:25:00.025Z,webhook
Wed Apr 11 2018 05:00:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 168101 Events,,2018-04-11T05:00:00.020Z,webhook
Wed Apr 11 2018 08:05:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 175680 Events,,2018-04-11T08:05:00.032Z,webhook
Wed Apr 11 2018 02:30:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 103608 Events,,2018-04-11T02:30:00.040Z,webhook
Wed Apr 11 2018 04:55:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 168101 Events,,2018-04-11T04:55:00.016Z,webhook
Wed Apr 11 2018 07:50:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 175010 Events,,2018-04-11T07:50:00.020Z,webhook
