Trial,Front Motion Sent (Sequence Start),Front Motion Received,Front Motion Sequence,Front Motion Time Delta ,Front Camera Start,Front Camera End,Unlock Sent,Unlock Received,Unlock Sequence ,Unlock Delta,Alexa Light Trigger Sent,Light Turned On,Alexa Trigger Received,Alexa Trigger Sequence,Alexa Trigger Delta,Motion Sensor 1 Sent,Motion Sensor 1 Received,Motion Sensor 1 Sequence,Motion Sensor 1 Delta,Motion Sensor 2 Sent,Motion Sensor 2 Received,Motion Sensor 2 Sequence,Motion Sensor 2 Delta,Lock Sent (Sequence End) ,Lock Received,Lock Sequence,Lock Time Delta
1,12:04:06 PM,12:06:00 PM,1,12:02:03 AM,12:04:13 PM,12:04:45 PM,12:05:00 PM,12:05:06 PM,2,12:00:06 AM,12:05:22 PM,12:05:23 PM,12:05:22 PM,3,12:00:00 AM,12:05:45 PM,12:05:48 PM,4,12:00:03 AM,12:05:45 PM,12:05:48 PM,5,12:00:03 AM,12:06:30 PM,12:06:35 PM,6,12:00:05 AM
2,12:07:36 PM,12:12:01 PM,1,12:04:25 AM,12:07:41 PM,12:08:05 PM,12:08:18 PM,12:08:22 PM,2,12:00:04 AM,12:08:45 PM,12:09:00 PM,12:08:50 PM,3,12:00:05 AM,12:09:32 PM,12:09:32 PM,4,12:00:00 AM,12:09:32 PM,12:09:32 PM,5,12:00:00 AM,12:10:42 PM,12:10:46 PM,6,12:00:04 AM
3,12:11:47 PM,12:12:02 PM,1,12:00:15 AM,12:11:50 PM,12:12:15 PM,12:12:27 PM,12:12:30 PM,2,12:00:03 AM,12:12:50 PM,12:13:01 PM,12:12:50 PM,3,12:00:00 AM,12:13:33 PM,12:13:33 PM,4,12:00:00 AM,12:13:33 PM,,5,,12:14:18 PM,12:14:20 PM,6,12:00:02 AM
4,12:15:20 PM,12:16:12 PM,1,12:00:52 AM,12:15:27 PM,12:15:50 PM,12:16:00 PM,12:16:07 PM,2,12:00:03 AM,12:16:42 PM,12:16:00 PM,12:16:42 PM,3,12:00:00 AM,12:17:25 PM,12:17:41 PM,4,12:00:16 AM,12:17:35 PM,12:17:41 PM,5,12:00:06 AM,12:18:01 PM,12:18:04 PM,6,12:00:03 AM
5,12:19:04 PM,12:21:16 PM,1,12:02:12 AM,12:19:10 PM,12:19:25 PM,12:19:37 PM,12:19:39 PM,2,12:00:02 AM,12:19:57 PM,12:19:57 PM,12:20:00 PM,3,12:00:03 AM,12:20:19 PM,12:22:02 PM,4,12:01:43 AM,12:20:19 PM,12:20:42 PM,5,12:00:23 AM,12:21:15 PM,12:21:18 PM,6,12:00:03 AM
6,12:22:19 PM,12:26:19 PM,1,12:04:00 AM,12:22:45 PM,12:22:39 PM,12:22:50 PM,12:22:54 PM,2,12:00:04 AM,12:23:00 PM,12:23:25 PM,12:23:11 PM,3,12:00:01 AM,12:23:39 PM,12:23:39 PM,4,12:00:00 AM,12:23:40 PM,,5,,12:25:37 PM,12:25:40 PM,6,12:00:03 AM
7,12:26:41 PM,12:31:17 PM,1,12:04:36 AM,12:26:50 PM,12:27:10 PM,12:27:26 PM,12:27:30 PM,2,12:00:04 AM,12:27:43 PM,12:27:43 PM,12:27:48 PM,3,12:00:05 AM,12:28:07 PM,,4,,12:28:07 PM,12:28:07 PM,5,12:00:00 AM,12:28:47 PM,12:28:48 PM,6,12:00:01 AM
8,12:30:27 PM,12:31:18 PM,1,12:00:51 AM,12:30:31 PM,12:30:55 PM,12:31:21 PM,12:31:22 PM,2,12:00:01 AM,12:32:05 PM,12:32:26 PM,12:32:15 PM,3,12:00:10 AM,12:32:35 PM,12:32:35 PM,4,12:00:00 AM,12:32:36 PM,12:32:36 PM,5,12:00:00 AM,12:33:10 PM,12:33:12 PM,6,12:00:02 AM
9,12:34:15 PM,12:36:40 PM,1,12:02:25 AM,12:34:20 PM,12:34:00 PM,12:34:54 PM,12:34:54 PM,2,12:00:00 AM,12:35:13 PM,12:35:26 PM,12:35:14 PM,3,12:00:01 AM,12:35:54 PM,12:37:04 PM,4,12:01:10 AM,12:35:51 PM,12:35:51 PM,5,12:00:00 AM,12:36:30 PM,12:36:35 PM,6,12:00:05 AM
10,12:37:32 PM,12:41:09 PM,1,12:03:37 AM,12:37:38 PM,12:38:00 PM,12:38:18 PM,12:38:21 PM,2,12:00:03 AM,12:38:34 PM,12:38:36 PM,12:38:36 PM,3,12:00:02 AM,12:38:58 PM,12:39:05 PM,4,12:00:07 AM,12:38:57 PM,12:38:57 PM,5,12:00:00 AM,12:39:53 PM,12:40:29 PM,6,12:00:36 AM
delta sig,,,,12:01:35 AM,,,,,,12:00:02 AM,,,,,12:00:03 AM,,,,12:00:38 AM,,,,12:00:08 AM,,,,12:00:10 AM
